balcony,build_year,building_material,condition,floor_area,floor_info,floors,heating_type,house_info,lift,location,lot_owned,lot_size,maintenance,price,property_type,sauna,municipality,kitchen_type,balcony_type,floors_info,floor_num,park_space_type,address,postcode,Unit maintenance cost
Asunnossa on parveke,2020.0,concrete,good,61.0,8/8,8,Kaukolämpö,3h + kt,True,"tynnyritie 1 c 117,, ,02230 espoo",True,4185.0,"831,86 € / kk",438500.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,8,,tynnyritie 1 c 117,02230,831.0
Asunnossa on parveke,2019.0,concrete,good,43.0,2/3,3,Kaukolämpö,2 h + avok + kph + lasitettu p + yj:n mukaan 2 h + kt,False,"marinkallio 2,, ,02320 espoo",True,4202.0,"331,10 € / kk",258000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,marinkallio 2,02320,331.0
Asunnossa on parveke,2019.0,concrete,good,64.0,2/3,3,Kaukolämpö,3 h + avok + kph + lasitettu p + yj:n mukaan 3 h + kt,False,"marinkallio 2,, ,02320 espoo",True,4202.0,"492,80 € / kk",385600.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,2,,marinkallio 2,02320,492.0
Asunnossa on parveke,2016.0,concrete,good,63.0,2/3,3,"Kaukolämpö,Lämmönjakotapa:vesikeskuslämmitys. Ilmanvaihtotapa:koneellinen ilmanvaihto.",3 h + kt + kh + p (yj. 3h + kt),True,"lasiportti 2,, ,02780 espoo",False,5935.0,"459,90 € / kk",215000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,lasiportti 2,02780,459.0
Asunnossa on parveke,2015.0,concrete,good,76.0,2/8,8,"Kaukolämpö,Vesikiertoinen lattialämmitys",3h + kt + s + vh + parv.(yht.jär.mukaan 3h + kt + s ),True,"revontulentie 11,, ,02010 espoo",True,3741.0,"1 459,20 € / kk",530000.0,apartment,Asunnossa on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,revontulentie 11,02010,1459.0
Asunnossa on parveke,1969.0,concrete,mediocre,220.0,1/2,2,"Öljylämmitys, vesikeskuslämmitys",7h + k + 220m2 + s + pore-allas + takkahuone + varastotiloja,False,"särkitie 16,, ,02170",True,1113.0,,795000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,1,Carport,särkitie 16,02170,
,2003.0,concrete,good,202.0,1/1,1,"Poistoilmanlämpöpumppu, sähkö",5h + k + th + 2 x wc + 2 x kph + sauna-osasto. at + ak,False,"nupurinkalliontie 8 b,, ,02820 espoo",True,,,659000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,Carport,nupurinkalliontie 8 b,02820,
Asunnossa on parveke,2018.0,concrete,good,31.0,3/3,3,Kaukolämpö,1h + kt + kph + lasit. parveke,True,"reviisorinkatu 8,, ,02770 espoo",False,3386.0,"501,75 € / kk",165000.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchenette,glassed-in balcony,,3,,reviisorinkatu 8,02770,501.0
Asunnossa on parveke,2019.0,concrete,good,39.5,2/4,4,Kaukolämpö,2h + kt + p (yht.järj. ja isännöitsijäntodistuksen muk,True,"kaarlo sarkian katu 10,, ,02600 espoo",False,3588.0,"431,64 € / kk",219000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,kaarlo sarkian katu 10,02600,431.0
Asunnossa on parveke,1968.0,concrete,good,57.0,3/3,3,Kaukolämpö,3h + k + kph + p,False,"kuhatie 4,, ,02170",True,1703.0,"612,75 € / kk",326000.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchen,glassed-in balcony,,3,,kuhatie 4,02170,612.0
Asunnossa on parveke,1994.0,concrete,good,72.5,2/3,3,Kaukolämpö,3h + k + kph + s + wc + parveke,False,"tähtimötie 1,, ,02620 espoo",True,6279.0,"397,32 € / kk",224000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,2,,tähtimötie 1,02620,397.0
Asunnossa on parveke,2007.0,concrete,good,68.0,3/4,4,"Kaukolämpö,Vesikeskuslämmitys",3h + k + s,True,"kulovalkeantie 4,, ,02760 espoo",True,8742.0,"217,60 € / kk",265000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,3,,kulovalkeantie 4,02760,217.0
Asunnossa on parveke,2004.0,concrete,good,68.0,2/2,2,"Kaukolämpö, koneellinen poisto, huoneistokohtainen ilmanvaihto",3h + k + kph + s + parveke,False,"kuninkaistentie 24,, ,02610",True,15106.0,"241,40 € / kk",278000.0,apartment,Asunnossa on sauna,ESPOO,kitchen,glassed-in balcony,,2,,kuninkaistentie 24,02610,241.0
,2000.0,concrete,good,258.0,1/2,2,"Puu, sähkölämmitys,Legalett varaava sähkölämmitys alakerrassa. Yläkerran makuuhuoneissa kattolämmitys.",6-7h + k + khh + saunaosato + 2kph + 2wc,False,"munkkiranta 13,, ,02360 espoo",True,3274.0,,2190000.0,detached house,Asunnossa on sauna,ESPOO,kitchen,,2.0,1,Garage,munkkiranta 13,02360,
,1971.0,concrete,good,48.0,4/4,4,Kaukolämpö,2h + k + kph,False,"erik bassen tie 10 a 11,, ,02780",False,,"234,08 € / kk",140000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchen,,,4,,erik bassen tie 10 a 11,02780,234.0
Asunnossa on parveke,2019.0,concrete,good,43.0,1/3,3,Kaukolämpö,2h + kt,True,"marinkallio 2,, ,02320 espoo",True,4202.0,"283,65 € / kk",244000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,1,,marinkallio 2,02320,283.0
Asunnossa on parveke,2019.0,concrete,good,43.0,2/3,3,Kaukolämpö,2h + kt,True,"marinkallio 2,, ,02320 espoo",True,4202.0,"283,65 € / kk",254000.0,apartment,Taloyhtiössä on sauna,ESPOO,kitchenette,glassed-in balcony,,2,,marinkallio 2,02320,283.0
Asunnossa on parveke,1981.0,concrete,good,56.5,3/3,3,Kaukolämpö,2h + k + kph + lasitettu parve,False,"visamäki 4,, ,02130",True,2041.0,"367,25 € / kk",218000.0,apartment,Asunnossa ei ole saunaa,ESPOO,kitchen,glassed-in balcony,,3,,visamäki 4,02130,367.0
